Drug_name,GENE,Query Score,Interaction Score,Normalized_query_score,Normalized_interaction_score
CARFILZOMIB,PSMD11,6.11,1,0.052393386,0.002934014
BORTEZOMIB,PSMD11,5.42,0.63,0.046388164,0.001848429
IXAZOMIB CITRATE,PSMD11,2.29,0.37,0.019147084,0.001085585
OPROZOMIB,PSMD11,2.23,0.36,0.018624891,0.001056245
SERTRALINE,PGRMC1,2.72,2.37,0.022889469,0.006953613
DEXTROMETHORPHAN,PGRMC1,0.44,1.89,0.003046127,0.005545287
NORTRIPTYLINE,PGRMC1,0.36,0.79,0.002349869,0.002317871
QUERCETIN,EIF3F,2.16,1.08,0.018015666,0.003168735
SONOLISIB,PIK3R2,5.23,0.31,0.044734552,0.000909544
COPANLISIB,PIK3R2,4.36,0.26,0.03716275,0.000762844
GEDATOLISIB,PIK3R2,4.06,0.16,0.034551784,0.000469442
ISOPROTERENOL,PIK3R2,3.84,0.27,0.032637076,0.000792184
PF-04691502,PIK3R2,3.07,0.18,0.025935596,0.000528123
BUPARLISIB,PIK3R2,2.9,0.13,0.024456049,0.000381422
DACTOLISIB,PIK3R2,2.9,0.1,0.024456049,0.000293401
VOXTALISIB,PIK3R2,2.9,0.17,0.024456049,0.000498782
OMIPALISIB,PIK3R2,2.75,0.16,0.023150566,0.000469442
ZSTK-474,PIK3R2,2.72,0.19,0.022889469,0.000557463
WX-037,PIK3R2,2.72,0.19,0.022889469,0.000557463
GSK-1059615,PIK3R2,2.72,0.19,0.022889469,0.000557463
RECILISIB,PIK3R2,2.72,0.19,0.022889469,0.000557463
PILARALISIB,PIK3R2,2.61,0.15,0.021932115,0.000440102
AZD-6482,PIK3R2,2.54,0.13,0.021322889,0.000381422
APITOLISIB,PIK3R2,2.54,0.13,0.021322889,0.000381422
BGT-226,PIK3R2,2.42,0.17,0.020278503,0.000498782
PWT-33587,PIK3R2,2.42,0.17,0.020278503,0.000498782
RG-7666,PIK3R2,2.42,0.17,0.020278503,0.000498782
SF-1126,PIK3R2,2.42,0.17,0.020278503,0.000498782
PUQUITINIB,PIK3R2,2.38,0.14,0.019930374,0.000410762
SAMOTOLISIB,PIK3R2,2.18,0.15,0.01818973,0.000440102
DS-7423,PIK3R2,2.18,0.13,0.01818973,0.000381422
ALPELISIB,PIK3R2,2.11,0.09,0.017580505,0.000264061
VEMURAFENIB,PIK3R2,2.03,0.1,0.016884247,0.000293401
TASELISIB,PIK3R2,1.98,0.14,0.016449086,0.000410762
PANULISIB,PIK3R2,1.81,0.13,0.014969539,0.000381422
PA-799,PIK3R2,1.81,0.13,0.014969539,0.000381422
VS-5584,PIK3R2,1.81,0.13,0.014969539,0.000381422
PICTILISIB,PIK3R2,1.74,0.1,0.014360313,0.000293401
GSK-2636771,PIK3R2,1.63,0.1,0.013402959,0.000293401
PI-103,PIK3R2,1.52,0.08,0.012445605,0.000234721
INFIGRATINIB,PIK3R2,1.14,0.07,0.009138381,0.000205381
QUERCETIN,PIK3R2,1.08,0.01,0.008616188,2.93E-05
EPIRUBICIN,PIK3R2,0.87,0.05,0.006788512,0.000146701
CYCLOPHOSPHAMIDE,PIK3R2,0.77,0.02,0.00591819,5.87E-05
FLUOROURACIL,PIK3R2,0.54,0.01,0.003916449,2.93E-05
CARFILZOMIB,PSMD14,6.11,0.36,0.052393386,0.001056245
BORTEZOMIB,PSMD14,5.42,0.23,0.046388164,0.000674823
CHEMBL579028,PSMD14,4.36,2.58,0.03716275,0.007569756
IXAZOMIB CITRATE,PSMD14,2.29,0.14,0.019147084,0.000410762
OPROZOMIB,PSMD14,2.23,0.13,0.018624891,0.000381422
CHEMBL1346025,PSMD14,1.45,1.72,0.011836379,0.005046504
CHEMBL56542,PSMD14,1.45,0.86,0.011836379,0.002523252
CHEMBL1576310,PSMD14,0.79,0.47,0.006092254,0.001378987
CHEMBL56731,PSMD14,0.69,0.27,0.005221932,0.000792184
CHEMBL1453126,PSMD14,0.36,0.43,0.002349869,0.001261626
SULFURETIN,PSMD14,0.27,0.32,0.00156658,0.000938884
ARAMCHOL,SCD,4.36,11.36,0.03716275,0.033330399
CLOFIBRATE,SCD,2.32,1.51,0.019408181,0.004430361
COLCHICINE,SCD,1.96,0.46,0.016275022,0.001349646
MK-8245,SCD,1.45,3.79,0.011836379,0.011119913
ROSIGLITAZONE,SCD,1.36,0.71,0.01105309,0.00208315
SCYLLITOL,CDIPT,5.81,37.87,0.049782419,0.111111111
SERINE,SPTLC1,3.27,7.1,0.02767624,0.0208315
PYRIDOXAL PHOSPHATE,SPTLC1,2.35,2.18,0.019669278,0.006396151
PYRUVATE,SLC16A3,2.49,4.06,0.020887728,0.011912097
STREPTOZOCIN,SLC16A3,0.37,1.21,0.002436902,0.003550157
MYRISTIC ACID,TRAPPC3,1.66,2.71,0.013664056,0.007951178
LUCINACTANT,TRAPPC3,0.97,3.16,0.007658834,0.009271484
CHEMBL1161866,UGDH,5.9,0.99,0.050565709,0.002904674
COPPER,UGDH,3.75,0.39,0.031853786,0.001144265
SIMVASTATIN,ICMT,0.62,1.01,0.004612707,0.002963354
E7107,SF3B1,8.71,113.61,0.075021758,0.333333333
ARTENIMOL,ATP5L,7.53,0.7,0.064751958,0.00205381
PHENETHYLISOTHIOCYANATE,ATP5L,5.26,1.07,0.044995648,0.003139395
ENMD-981693,IPO7,0.97,2.1,0.007658834,0.006161429
CELECOXIB,MT-CO2,1.04,0.85,0.008268059,0.002493912
TALMAPIMOD,MT-CO2,0.87,5.68,0.006788512,0.0166652
AFATINIB,EGFR,114.99,4.14,1,0.012146818
GEFITINIB,EGFR,62.77,0.65,0.545517842,0.001907109
OSIMERTINIB,EGFR,62.72,2.26,0.545082681,0.006630872
CETUXIMAB,EGFR,59.2,0.71,0.514447346,0.00208315
ERLOTINIB,EGFR,58.52,1.05,0.508529156,0.003080715
PANITUMUMAB,EGFR,40.65,0.73,0.353002611,0.00214183
DACOMITINIB,EGFR,26.13,1.88,0.226631854,0.005515946
ZALUTUMUMAB,EGFR,26.13,1.88,0.226631854,0.005515946
ICOTINIB,EGFR,26.13,1.88,0.226631854,0.005515946
OLMUTINIB,EGFR,26.13,1.88,0.226631854,0.005515946
LAPATINIB,EGFR,22.87,0.55,0.198259356,0.001613708
NERATINIB,EGFR,22.17,0.8,0.192167102,0.002347211
RINDOPEPIMUT,EGFR,21.78,1.57,0.188772846,0.004606402
NECITUMUMAB,EGFR,17.42,1.26,0.150826806,0.003696858
DEPATUXIZUMAB,EGFR,17.42,1.26,0.150826806,0.003696858
CHEMBL285063,EGFR,17.42,0.63,0.150826806,0.001848429
NIMOTUZUMAB,EGFR,13.07,0.94,0.112967798,0.002757973
ROCILETINIB,EGFR,13.07,0.94,0.112967798,0.002757973
PELITINIB,EGFR,13.07,0.94,0.112967798,0.002757973
MATUZUMAB,EGFR,13.07,0.94,0.112967798,0.002757973
PKI-166,EGFR,13.07,0.94,0.112967798,0.002757973
PACLITAXEL,EGFR,11.33,0.04,0.097824195,0.000117361
AC-480,EGFR,10.89,0.78,0.093994778,0.002288531
S-222611,EGFR,10.89,0.78,0.093994778,0.002288531
VANDETANIB,EGFR,10.69,0.15,0.092254134,0.000440102
SAPITINIB,EGFR,10.16,0.73,0.087641427,0.00214183
PEMBROLIZUMAB,EGFR,9.5,0.09,0.081897302,0.000264061
CHEMBL1077773,EGFR,8.71,0.63,0.075021758,0.001848429
GRACILIN J,EGFR,8.71,0.63,0.075021758,0.001848429
VARLITINIB,EGFR,8.71,0.63,0.075021758,0.001848429
IMGATUZUMAB,EGFR,8.71,0.63,0.075021758,0.001848429
CHEMBL188762,EGFR,8.71,0.63,0.075021758,0.001848429
AZD-3759,EGFR,8.71,0.63,0.075021758,0.001848429
DEPATUXIZUMAB MAFODOTIN,EGFR,8.71,0.63,0.075021758,0.001848429
CHEMBL472212,EGFR,8.71,0.63,0.075021758,0.001848429
ABIVERTINIB MALEATE,EGFR,8.71,0.63,0.075021758,0.001848429
