Drug,Unnamed: 1,GENE,Query Score,Interaction Score,Normalized_query_score,Normalized_interaction_score
  CARFILZOMIB,,PSMD11,6.11,1.0,0.05239338555265449,0.0029340140245870377
  BORTEZOMIB,,PSMD11,5.42,0.63,0.0463881636205396,0.0018484288354898338
  IXAZOMIB CITRATE,,PSMD11,2.29,0.37,0.01914708442123586,0.0010855851890972038
  OPROZOMIB,,PSMD11,2.23,0.36,0.01862489120974761,0.0010562450488513335
  SERTRALINE,,PGRMC1,2.72,2.37,0.022889469103568327,0.006953613238271279
  DEXTROMETHORPHAN,,PGRMC1,0.44,1.89,0.0030461270670147957,0.005545286506469501
  NORTRIPTYLINE,,PGRMC1,0.36,0.79,0.002349869451697128,0.0023178710794237597
  QUERCETIN,,EIF3F,2.16,1.08,0.01801566579634465,0.003168735146554001
  SONOLISIB,,PIK3R2,5.23,0.31,0.04473455178416015,0.0009095443476219816
  COPANLISIB,,PIK3R2,4.36,0.26,0.03716275021758051,0.0007628436463926298
  GEDATOLISIB,,PIK3R2,4.06,0.16,0.03455178416013925,0.00046944224393392605
  ISOPROTERENOL,,PIK3R2,3.84,0.27,0.03263707571801567,0.0007921837866385002
  PF-04691502,,PIK3R2,3.07,0.18,0.02593559617058312,0.0005281225244256667
  BUPARLISIB,,PIK3R2,2.9,0.13,0.024456048738033073,0.0003814218231963149
  DACTOLISIB,,PIK3R2,2.9,0.1,0.024456048738033073,0.0002934014024587038
  VOXTALISIB,,PIK3R2,2.9,0.17,0.024456048738033073,0.0004987823841797964
  OMIPALISIB,,PIK3R2,2.75,0.16,0.023150565709312447,0.00046944224393392605
  ZSTK-474,,PIK3R2,2.72,0.19,0.022889469103568327,0.0005574626646715372
  WX-037,,PIK3R2,2.72,0.19,0.022889469103568327,0.0005574626646715372
  GSK-1059615,,PIK3R2,2.72,0.19,0.022889469103568327,0.0005574626646715372
  RECILISIB,,PIK3R2,2.72,0.19,0.022889469103568327,0.0005574626646715372
  PILARALISIB,,PIK3R2,2.61,0.15,0.02193211488250653,0.00044010210368805564
  AZD-6482,,PIK3R2,2.54,0.13,0.021322889469103573,0.0003814218231963149
  APITOLISIB,,PIK3R2,2.54,0.13,0.021322889469103573,0.0003814218231963149
  BGT-226,,PIK3R2,2.42,0.17,0.02027850304612707,0.0004987823841797964
  PWT-33587,,PIK3R2,2.42,0.17,0.02027850304612707,0.0004987823841797964
  RG-7666,,PIK3R2,2.42,0.17,0.02027850304612707,0.0004987823841797964
  SF-1126,,PIK3R2,2.42,0.17,0.02027850304612707,0.0004987823841797964
  PUQUITINIB,,PIK3R2,2.38,0.14,0.019930374238468235,0.0004107619634421853
  SAMOTOLISIB,,PIK3R2,2.18,0.15,0.01818973020017407,0.00044010210368805564
  DS-7423,,PIK3R2,2.18,0.13,0.01818973020017407,0.0003814218231963149
  ALPELISIB,,PIK3R2,2.11,0.09,0.017580504786771107,0.0002640612622128334
  VEMURAFENIB,,PIK3R2,2.03,0.1,0.016884247171453436,0.0002934014024587038
  TASELISIB,,PIK3R2,1.98,0.14,0.016449086161879897,0.0004107619634421853
  PANULISIB,,PIK3R2,1.81,0.13,0.014969538729329853,0.0003814218231963149
  PA-799,,PIK3R2,1.81,0.13,0.014969538729329853,0.0003814218231963149
  VS-5584,,PIK3R2,1.81,0.13,0.014969538729329853,0.0003814218231963149
  PICTILISIB,,PIK3R2,1.74,0.1,0.014360313315926894,0.0002934014024587038
  GSK-2636771,,PIK3R2,1.63,0.1,0.0134029590948651,0.0002934014024587038
  PI-103,,PIK3R2,1.52,0.08,0.012445604873803308,0.00023472112196696302
  INFIGRATINIB,,PIK3R2,1.14,0.07,0.009138381201044385,0.00020538098172109265
