Virus,Gene names,Normalized_weight
P0DTC1,ESYT2,0.05751634
P0DTC1,ILVBL,0.019545596
P0DTC1,AGPS,0.009897292
P0DTC1,PSMD11,0.05017118
P0DTC1,PSMD12,0.05017118
P0DTC1,PGRMC1,0.087706194
P0DTC1,EIF3F,0.014752568
P0DTC1,IPO5,0.177093059
P0DTC1,PIK3R2,0.067538126
P0DTC1,PSMD14,0.05017118
P0DTC1,DDX3X,0.014752568
P0DTC1,PPP6C,0.025832555
P0DTC1,SCD,0.036601307
P0DTC1,DVL2,0.003050109
P0DTC1,IRS4,0.023840647
P0DTC1,CDIPT,0.086772487
P0DTC1,PRMT5,0.032181762
P0DTC1,SCAMP3,0.121755369
P0DTC1,TAX1BP3,0.00410831
P0DTC1,TIMM23,0.017864924
P0DTC1,BTAF1,0.009897292
P0DTC1,NKRF,0.010644258
P0DTC1,SURF4,0.015312792
P0DTC1,SPTLC1,0.110301899
P0DTC1,OGT,0.046747588
P0DTC1,PPM1G,0.026953003
P0DTC1,SLC16A3,0.012511671
P0DTC1,PSMD3,0.047370059
P0DTC1,RBFOX2,0.045315904
P0DTC1,ZW10,0.052225335
P0DTC1,EEF1E1,0.018798631
P0DTC1,HNRNPR,0.060504202
P0DTC1,TRAPPC3,0.049112979
P0DTC1,SYNCRIP,0.029754124
P0DTC1,UGDH,0.012511671
P0DTC1,ICMT,0.015624027
P0DTC1,DNAJA2,0.014752568
P0DTC1,DNAJB6,0.016059757
P0DTC1,ATP6V1G1,0.014628073
P0DTC1,FLNB,0.024151883
P0DTC1,CDC45,0.113974479
P0DTC1,SF3B1,0.014752568
P0DTC1,PRKRA,0.051042639
P0DTC1,SNRNP200,0.045004669
P0DTC1,PPM1B,0.073825086
P0DTC1,CDC123,0.024151883
P0DTC1,ZMPSTE24,0.082415188
P0DTC1,ATP5MG,0.012511671
P0DTC1,CIAO1,0.015624027
P0DTC1,ERLIN2,0.026953003
P0DTC1,PRPF6,0.088204171
P0DTC1,UBR5,0.081854964
P0DTC1,SMC2,0.01363212
P0DTC1,IPO7,0.015624027
P0DTC1,ACSL3,0.044506692
P0DTC1,CPSF4,0.042328042
P0DTC1,HSPA4L,0.012511671
P0DTC1,STAU1,0.058201058
P0DTC1,BAG2,0.064176782
P0DTC1,BAG3,0.058014317
P0DTC1,TOMM40,0.014752568
P0DTC1,MT-CO2,0.019172113
P0DTC1,EGFR,0.012511671
P0DTC1,HLA-B,0.086772487
P0DTC1,CRYAB,0.023031435
P0DTC1,TFRC,0.018425148
P0DTC1,OAT,0.013009648
P0DTC1,KRT1,0.012511671
P0DTC1,TUBB4A,0.014752568
P0DTC1,TP53,0.016744476
P0DTC1,HSPB1,0.058014317
P0DTC1,RPN1,0.061562403
P0DTC1,RPN2,0.028384687
P0DTC1,GNAI2,0.014752568
P0DTC1,ATP1A1,0.026953003
P0DTC1,SLC25A5,0.038966698
P0DTC1,EIF2S1,0.012511671
P0DTC1,RPLP1,0.053781513
P0DTC1,RPLP2,0.030563336
P0DTC1,RPLP0,0.037970744
P0DTC1,ITGB1,0.001369437
P0DTC1,CDK1,0.014752568
P0DTC1,ATP5F1B,0.030687831
P0DTC1,S100A6,0.033488951
P0DTC1,ENO1,0.055960162
P0DTC1,NPM1,0.034298164
P0DTC1,P4HB,0.077373171
P0DTC1,ANXA2,0.107874261
P0DTC1,TUBB,0.108434485
P0DTC1,EPRS1,0.012511671
P0DTC1,HSP90AA1,0.032928727
P0DTC1,HNRNPC,0.02832244
P0DTC1,SLC3A2,0.125676937
P0DTC1,PFKM,0.009897292
P0DTC1,HSP90AB1,0.032928727
P0DTC1,CYC1,0.03286648
P0DTC1,KRT7,0.023218176
P0DTC1,RPSA,0.046249611
P0DTC1,HNRNPA1,0.066542172
P0DTC1,TRAPPC2,0.009897292
P0DTC1,HSPA1A,0.066791161
P0DTC1,HSPD1,0.076190476
P0DTC1,HSPA5,0.014752568
P0DTC1,HSPA8,0.092250233
P0DTC1,SLC2A1,0.018425148
P0DTC1,PABPC1,0.100902583
P0DTC1,PCNA,0.064674759
P0DTC1,SLC25A6,0.105633364
P0DTC1,XRCC5,0.014752568
P0DTC1,EEF2,0.032928727
P0DTC1,P4HA1,0.049486461
P0DTC1,PKM,0.012511671
P0DTC1,HSP90B1,0.03286648
P0DTC1,SNRPB,0.046498599
P0DTC1,HNRNPL,0.023280423
P0DTC1,DARS1,0.033800187
P0DTC1,HIVEP1,0.014628073
P0DTC1,RPS2,0.076190476
P0DTC1,H1-2,0.011266729
P0DTC1,GNB3,0.01363212
P0DTC1,ATP2A2,0.048303766
P0DTC1,CTPS1,0.030065359
P0DTC1,PFKL,0.015312792
P0DTC1,PSMC3,0.014752568
P0DTC1,TCP1,0.05577342
P0DTC1,ARF4,0.018425148
P0DTC1,RPL7,0.035605353
P0DTC1,SON,0.00410831
P0DTC1,RPL17,0.078867102
P0DTC1,NCL,0.08085901
P0DTC1,POLR2C,0.005975724
P0DTC1,FLNA,0.016122004
P0DTC1,VDAC1,0.045315904
P0DTC1,SDHB,0.016370993
P0DTC1,COMT,0.001369437
P0DTC1,NME2,0.012511671
P0DTC1,HNRNPA2B1,0.023280423
P0DTC1,RPS3,0.096483038
P0DTC1,JAK1,0.031434796
P0DTC1,CFL1,0.032928727
P0DTC1,EIF4B,0.016122004
P0DTC1,MCM3,0.030127607
P0DTC1,RPS12,0.050855898
P0DTC1,ATP5F1A,0.014752568
P0DTC1,PSMA4,0.014752568
P0DTC1,RPL13,0.073825086
P0DTC1,EEF1G,0.050918145
P0DTC1,YWHAQ,0.079987551
P0DTC1,CALR,0.033488951
P0DTC1,MAP4,0.000311236
P0DTC1,CANX,0.036601307
P0DTC1,PIK3R1,0.035294118
P0DTC1,EEF1D,0.04475568
P0DTC1,RPL12,0.078867102
P0DTC1,PPP2R1A,0.058014317
P0DTC1,DNAJA1,0.014752568
P0DTC1,HNRNPH1,0.096483038
P0DTC1,YWHAB,0.038966698
P0DTC1,MCM7,0.054217242
P0DTC1,HSPA1L,0.001867414
P0DTC1,PHB,0.030065359
P0DTC1,RPL22,0.0118892
P0DTC1,KRT9,0.012511671
P0DTC1,COPB2,0.03286648
P0DTC1,PSMC2,0.0291939
P0DTC1,ATP5F1C,0.017553688
P0DTC1,RPL4,0.035605353
P0DTC1,RBMX,0.039340181
P0DTC1,ATP6V1A,0.049112979
P0DTC1,HSPA9,0.058014317
P0DTC1,RPS19,0.12517896
P0DTC1,RPL3,0.035605353
P0DTC1,DDOST,0.012511671
P0DTC1,CCT6A,0.058014317
P0DTC1,RPL13A,0.048739496
P0DTC1,ARL1,0.012511671
P0DTC1,PEX19,0.009897292
P0DTC1,RFC5,0.011826953
P0DTC1,RFC3,0.103330221
P0DTC1,IARS1,0.012511671
P0DTC1,TMPO,0.009897292
P0DTC1,TMPO,0.011826953
P0DTC1,RPS27,0.014752568
P0DTC1,LRPPRC,0.029318394
P0DTC1,RPL35,0.033364457
P0DTC1,MATR3,0.055088702
P0DTC1,SSR1,0.086772487
P0DTC1,RANBP1,0.049112979
P0DTC1,PSMC4,0.042826019
P0DTC1,VDAC2,0.012511671
P0DTC1,MAPK9,0.005851229
P0DTC1,MAP2K3,0.012511671
P0DTC1,RPL27A,0.019794585
P0DTC1,RPL21,0.037970744
P0DTC1,RPL28,0.097043262
P0DTC1,RPS9,0.061064426
P0DTC1,RPS5,0.032928727
P0DTC1,RPS10,0.037970744
P0DTC1,MAP1B,0.000311236
P0DTC1,STT3A,0.120759415
P0DTC1,QARS1,0.034982882
P0DTC1,ATP5PO,0.021599751
P0DTC1,ARCN1,0.018425148
P0DTC1,TRAPPC10,0.024338624
P0DTC1,CCT5,0.107065048
P0DTC1,CCT3,0.058574541
P0DTC1,TUFM,0.058014317
P0DTC1,CARS1,0.00410831
P0DTC1,RBM25,0.005975724
P0DTC1,EIF2B2,0.049112979
P0DTC1,IDH3A,0.012511671
P0DTC1,EMD,0.030065359
P0DTC1,SERPINH1,0.018425148
P0DTC1,RPL14,0.078867102
P0DTC1,CCT8,0.05577342
P0DTC1,CCT4,0.058014317
P0DTC1,RAB5C,0.03286648
P0DTC1,DAP3,0.003610333
P0DTC1,SSR4,0.030065359
P0DTC1,IRAK1,0.066915655
P0DTC1,ALDH3A2,0.075070028
P0DTC1,HSD17B4,0.0237784
P0DTC1,PSMD7,0.017553688
P0DTC1,HNRNPA3,0.003050109
P0DTC1,HNRNPM,0.030563336
P0DTC1,KPNA2,0.039651416
P0DTC1,HNRNPF,0.053221289
P0DTC1,MSH6,0.031185808
P0DTC1,KIF11,0.073825086
P0DTC1,SLC25A1,0.143168378
P0DTC1,COPB1,0.045129163
P0DTC1,COPA,0.03286648
P0DTC1,CLNS1A,0.014752568
P0DTC1,RARS1,0.031185808
P0DTC1,EIF5,0.009897292
P0DTC1,CSE1L,0.012511671
P0DTC1,HADHB,0.1178338
P0DTC1,NAP1L1,0.058014317
P0DTC1,ADAR,0.031621538
P0DTC1,RRP1,0.034671646
P0DTC1,TMEM33,0.014752568
P0DTC1,NUP107,0.113974479
P0DTC1,SEC61B,0.061126673
P0DTC1,UBE2G2,0.001369437
P0DTC1,MYL6,0.032928727
P0DTC1,ACTB,0.014752568
P0DTC1,EIF4A1,0.0291939
P0DTC1,RPS20,0.035605353
P0DTC1,PRPS1,0.012511671
P0DTC1,S100A10,0.035169623
P0DTC1,CDC42,0.026953003
P0DTC1,RPS3A,0.092001245
P0DTC1,RPL15,0.078867102
P0DTC1,RPL27,0.030563336
P0DTC1,SEC61A1,0.036601307
P0DTC1,DCAF7,0.054341737
P0DTC1,HNRNPK,0.066542172
P0DTC1,RPS7,0.014752568
P0DTC1,RPS8,0.030563336
P0DTC1,RPS15A,0.120136944
P0DTC1,RPS16,0.078867102
P0DTC1,YWHAE,0.036725801
P0DTC1,RPS14,0.073825086
P0DTC1,RPS23,0.030563336
P0DTC1,RPS18,0.096483038
P0DTC1,RPS13,0.102521008
P0DTC1,RPS11,0.021164021
P0DTC1,SNRPE,0.012511671
P0DTC1,SNRPF,0.030687831
P0DTC1,SNRPD1,0.014752568
P0DTC1,PSMC6,0.038842204
P0DTC1,RPL7A,0.078867102
P0DTC1,RPL23A,0.111795829
P0DTC1,RPS6,0.073825086
P0DTC1,H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16,0.043759726
P0DTC1,RAB1A,0.015624027
P0DTC1,RAN,0.032306256
P0DTC1,RPL23,0.099159664
P0DTC1,RPS15,0.092001245
P0DTC1,RPS24,0.053781513
P0DTC1,RPS25,0.073825086
P0DTC1,RPL31,0.021164021
P0DTC1,RPL10A,0.014752568
P0DTC1,RPL11,0.063056334
P0DTC1,RPL8,0.078867102
P0DTC1,RPS27A,0.013507625
P0DTC1,RAC1,0.009897292
P0DTC1,YWHAZ,0.013071895
P0DTC1,PPP2R2A,0.072455649
P0DTC1,DYNLL1,0.034111422
P0DTC1,RPL38,0.035605353
P0DTC1,PPP2CA,0.001182695
P0DTC1,YBX1,0.117335823
P0DTC1,ACTC1,0.014752568
P0DTC1,EEF1A1,0.098039216
P0DTC1,ACTA1,0.054528478
P0DTC1,TUBA1B,0.012511671
P0DTC1,TUBA4A,0.030687831
P0DTC1,TUBB4B,0.076190476
P0DTC1,PRKDC,0.032119514
P0DTC1,MRPS15,0.024400871
P0DTC1,RPL24,0.035605353
P0DTC1,ARF1,0.017553688
P0DTC1,ARF5,0.018425148
P0DTC1,RHOG,0.015810769
P0DTC1,RPL19,0.035605353
P0DTC1,SLC25A3,0.076190476
P0DTC1,CDC42EP1,0.05751634
P0DTC1,CLTC,0.048241519
P0DTC1,HNRNPU,0.023280423
P0DTC1,PFKP,0.051042639
P0DTC1,H1-1,0.028944911
P0DTC1,RPL6,0.078867102
P0DTC1,SLC25A11,0.032928727
P0DTC1,CENPC,0.00410831
P0DTC1,UBXN1,0.014752568
P0DTC1,EIF4G1,0.014752568
P0DTC1,GFPT1,0.030065359
P0DTC1,PRDX1,0.014752568
P0DTC1,C1QBP,0.014752568
P0DTC1,CKAP4,0.015624027
P0DTC1,DHX9,0.030127607
P0DTC1,VAC14,0.005975724
P0DTC1,AHNAK,0.060690943
P0DTC1,CPSF1,0.019483349
P0DTC1,NUP160,0.074758792
P0DTC1,ASPH,0.01643324
P0DTC1,ILF2,0.070214753
P0DTC1,ILF3,0.046498599
P0DTC1,EIF2B5,0.082415188
P0DTC1,HNRNPA0,0.003050109
P0DTC1,AIMP2,0.025272331
P0DTC1,CBX3,0.011266729
P0DTC1,PSMD2,0.075568005
P0DTC1,TMED1,0.012511671
P0DTC1,SQSTM1,0.04519141
P0DTC1,DDX39B,0.012511671
P0DTC1,TUBB2A,0.012511671
P0DTC1,CKAP5,0.026953003
P0DTC1,SCRIB,0.024463119
P0DTC1,DYNC1H1,0.007033925
P0DTC1,EIF2B1,0.049112979
P0DTC1,RCN2,0.05577342
P0DTC1,TRIM25,0.00952381
P0DTC1,FLNC,0.016122004
P0DTC1,FKBP8,0.030812325
P0DTC1,TRIP12,0.012511671
P0DTC1,GANAB,0.030065359
P0DTC1,KPNB1,0.03155929
P0DTC1,NCAPH,0.012511671
P0DTC1,PSMD6,0.03199502
P0DTC1,KARS1,0.048241519
P0DTC1,STK38,0.000311236
P0DTC1,PCBP1,0.13837535
P0DTC1,PCBP2,0.030687831
P0DTC1,ELOB,0.026953003
P0DTC1,TARBP2,0.011142235
P0DTC1,TRIP13,0.015624027
P0DTC1,ELAVL1,0.003050109
P0DTC1,MLF2,0.032555244
P0DTC1,DDB1,0.033986928
P0DTC1,RBBP7,0.014752568
P0DTC1,IMMT,0.014752568
P0DTC1,INF2,0.026953003
P0DTC1,HKDC1,0.06162465
P0DTC1,TIMM50,0.047930283
P0DTC1,GLYR1,0.048117025
P0DTC1,AGK,0.01643324
P0DTC1,NOM1,0.066915655
P0DTC1,PPP6R3,0.0475568
P0DTC1,TIMM23B,0.025023343
P0DTC1,NUP188,0.048988484
P0DTC1,HLA-A,0.02875817
P0DTC1,RARS2,0.070028011
P0DTC1,UBR4,0.012511671
P0DTC1,ECPAS,0.055026455
P0DTC1,MICOS13,0.013258637
P0DTC1,RINT1,0.009897292
P0DTC1,ARMC6,0.066915655
P0DTC1,SLC27A4,0.015188298
P0DTC1,EDC4,0.009897292
P0DTC1,PRPF8,0.03373794
P0DTC1,TTC27,0.117086835
P0DTC1,AGTRAP,0.043199502
P0DTC1,QSOX2,0.015810769
P0DTC1,TUBA1A,0.030687831
P0DTC1,BZW1,0.049112979
P0DTC1,EIF3M,0.014752568
P0DTC1,HEATR3,0.049112979
P0DTC1,TRAPPC6B,0.009897292
P0DTC1,NLRX1,0.009897292
P0DTC1,CAND1,0.012511671
P0DTC1,TRAPPC5,0.024338624
P0DTC1,PLD3,0.009897292
P0DTC1,GSPT2,0.012511671
P0DTC1,CCAR2,0.022222222
P0DTC1,NUP93,0.036601307
P0DTC1,LNX2,0.040771864
P0DTC1,TTC13,0.009897292
P0DTC1,SERBP1,0.076626206
P0DTC1,LPCAT1,0.044506692
P0DTC1,THOC2,0.009897292
P0DTC1,COQ8A,0.066915655
P0DTC1,TBC1D15,0.034671646
P0DTC1,HM13,0.034671646
P0DTC1,GEMIN5,0.009897292
P0DTC1,IPO4,0.030065359
P0DTC1,COG1,0.009897292
P0DTC1,NUP133,0.074758792
P0DTC1,THEM6,0.015810769
P0DTC1,MAP11,0.009897292
P0DTC1,FAR1,0.122689076
P0DTC1,ATRIP,0.009897292
P0DTC1,DDX1,0.046000622
P0DTC1,H1-10,0.008527856
P0DTC1,CCT6B,0.002863368
P0DTC1,NCSTN,0.030936819
P0DTC1,PIK3R3,0.002925615
P0DTC1,HSPH1,0.0821662
P0DTC1,GCN1,0.015624027
P0DTC1,NUP205,0.131528167
P0DTC1,KHSRP,0.03155929
P0DTC1,TBRG4,0.009897292
P0DTC1,CCDC47,0.051851852
P0DTC1,LRRC59,0.015624027
P0DTC1,OTULIN,0.082415188
P0DTC1,EFHD2,0.012511671
P0DTC1,FAF2,0.056022409
P0DTC1,SAAL1,0.049112979
P0DTC1,PGAM5,0.015686275
P0DTC1,ATP5MD,0.014752568
P0DTC1,TMX3,0.03286648
P0DTC1,IPO9,0.015624027
P0DTC1,QKI,0.01363212
P0DTC1,TRAPPC9,0.057640834
P0DTC1,STRBP,0.020043573
P0DTC1,MMS19,0.001369437
P0DTC1,YME1L1,0.066915655
P0DTC1,PSMD1,0.014752568
P0DTC1,TIMM17A,0.012511671
P0DTC1,DNAJC7,0.034796141
P0DTC1,PHB2,0.012511671
P0DTC1,HNRNPAB,0.064301276
P0DTC1,NAP1L4,0.012511671
P0DTC1,CCT7,0.060815437
P0DTC1,TUBA1C,0.014752568
P0DTC1,SDF4,0.026953003
P0DTC1,ALG1,0.009897292
P0DTC1,DCUN1D5,0.051727358
P0DTC1,TUBB6,0.014752568
P0DTC1,HNRNPUL1,0.002552132
P0DTC1,FANCD2,0.074758792
P0DTC1,EDEM3,0.013009648
P0DTC1,DPY30,0.007033925
P0DTC1,MAP1LC3B,0.012511671
P0DTC1,TMX1,0.049112979
P0DTC1,GOLPH3,0.009897292
P0DTC1,ZWILCH,0.009897292
P0DTC1,GNB4,0.030687831
P0DTC1,MOV10,0.022097728
P0DTC1,WDR6,0.012075941
P0DTC1,RAB18,0.030065359
P0DTC1,COPRS,0.017989418
P0DTC1,EIF2B3,0.082415188
P0DTC1,AASDHPPT,0.05577342
P0DTC1,FAM114A2,0.009897292
P0DTC1,TOMM22,0.012511671
P0DTC1,LANCL2,0.014752568
P0DTC1,SMC4,0.029940865
P0DTC1,MDN1,0.013009648
P0DTC1,STAU2,0.023404918
P0DTC1,FANCI,0.116775599
P0DTC1,ATAD3A,0.043448491
P0DTC1,ARL8B,0.030065359
P0DTC1,CHCHD3,0.06616869
