Drug_Protein Pair,Max DDT,Sum DDT,Max DDDT,Sum DDDT,Max DTTT,Sum DTTT,Max DTDT,degree of starting node,degree of ending node,max deg DDT,max deg DDDT,max deg DTTT,max deg DTDT_x,drug_centrality,target_centrality,betweenness_cen drug,betweenness_cen target,Label_x,max deg DTDT_y,Label_y
"('METHYLPHENIDATE', 'NEC1')",0.33755274227848103,0.11012490534221324,0.32494528748597984,0.10013251591441746,0.0,0.0,0.0,0.580952380952381,0.04615384615384616,0.6972343522561864,0.7924151696606786,0.0,0.0,0.9001839142521199,0.6409330727272062,0.01027907531805613,0.0,0,0.0,1
"('ACENOCOUMAROL', 'NEC1')",0.3878265549367088,0.12187811257531775,0.3733413932382631,0.11103316629130187,0.0,0.0,0.0,0.6253968253968254,0.04615384615384616,0.7176128093158661,0.8063872255489022,0.0,0.0,0.9266781405928916,0.6409330727272062,0.000192075482486824,0.0,0,0.0,1
"('MOMETASONE FUROATE', 'NEC1')",0.3549523686075949,0.113542780947111,0.3609764660791541,0.10310328621174447,0.0,0.0,0.0,0.6,0.04615384615384616,0.7059679767103348,0.7984031936127745,0.0,0.0,0.8013097178360684,0.6409330727272062,0.00011162501861799719,0.0,0,0.0,1
"('RUXOLITINIB PHOSPHATE', 'NEC1')",0.3985995149367089,0.12786357259606768,0.3837119876942798,0.11166973834698816,0.0,0.0,0.0,0.6,0.04615384615384616,0.7059679767103348,0.7984031936127745,0.0,0.0,0.8176157926113675,0.6409330727272062,4.05269211739215e-05,0.0,0,0.0,1
"('FULVESTRANT', 'NEC1')",0.3691983118987341,0.11821586424391352,0.38833383573145336,0.10011731347910316,0.0,0.0,0.0,0.6,0.04615384615384616,0.7059679767103348,0.7984031936127745,0.0,0.0,0.8610267063229828,0.6409330727272062,0.0003469426254343156,0.0,0,0.0,1
"('AMSACRINE', 'NEC1')",0.38869709772151895,0.12240073366062178,0.3807289826630349,0.12324859481221224,0.0,0.0,0.0,0.6285714285714286,0.04615384615384616,0.7190684133915575,0.8073852295409182,0.0,0.0,0.8168714904063077,0.6409330727272062,0.00012168132660160052,0.0,0,0.0,1
"('PODOFILOX', 'NEC1')",0.35272365265822786,0.1125996224164216,0.35197083954494474,0.10109424446997696,0.0,0.0,0.0,0.5841269841269842,0.04615384615384616,0.6986899563318777,0.7934131736526946,0.0,0.0,0.8161285416302483,0.6409330727272062,0.00021017683685731003,0.0,0,0.0,1
"('BARICITINIB', 'NEC1')",0.4050632911392405,0.1280202025883431,0.40620110059285375,0.10916627901034408,0.0,0.0,0.0,0.5841269841269842,0.04615384615384616,0.6986899563318777,0.7934131736526946,0.0,0.0,0.8156339943512089,0.6409330727272062,6.084066330080026e-05,0.0,0,0.0,1
"('DEOXYCHOLIC ACID', 'NEC1')",0.36502796556962025,0.11657324908317965,0.3731716163435347,0.09047316569842292,0.0,0.0,0.0,0.5682539682539682,0.04615384615384616,0.6914119359534207,0.7884231536926147,0.0,0.0,0.8258935399718115,0.6409330727272062,0.0008185834698653128,0.0,0,0.0,1
"('SELINEXOR', 'NEC1')",0.3624250501265823,0.11595834707135334,0.34888862477167115,0.10411068304991664,0.0,0.0,0.0,0.5682539682539682,0.04615384615384616,0.6914119359534207,0.7884231536926147,0.0,0.0,0.9739507951620948,0.6409330727272062,4.816971524146005e-05,0.0,0,0.0,1
"('DEXAMETHASONE', 'NEC1')",0.3837441701265822,0.12298839181702576,0.38833383573145336,0.09865659636221392,0.0,0.0,0.0,0.5682539682539682,0.04615384615384616,0.6914119359534207,0.7884231536926147,0.0,0.0,0.955287436077798,0.6409330727272062,0.12225925256511025,0.0,0,0.0,1
"('PAZOPANIB HYDROCHLORIDE', 'NEC1')",0.3821351807594937,0.12054373074782535,0.3798629101746515,0.10519832926568247,0.0,0.0,0.0,0.5682539682539682,0.04615384615384616,0.6914119359534207,0.7884231536926147,0.0,0.0,0.8358950453036315,0.6409330727272062,0.002079202013457894,0.0,0,0.0,1
"('LIOTHYRONINE', 'NEC1')",0.3496081974683544,0.1139901268140425,0.3411336070501522,0.09591309914538278,0.0,0.0,0.0,0.5746031746031746,0.04615384615384616,0.6943231441048034,0.7904191616766467,0.0,0.0,0.8293284022989199,0.6409330727272062,0.00022224440643763409,0.0,0,0.0,1
"('LEVOTHYROXINE', 'NEC1')",0.3496081974683544,0.1139901268140425,0.3411336070501522,0.09591309914538278,0.0,0.0,0.0,0.5746031746031746,0.04615384615384616,0.6943231441048034,0.7904191616766467,0.0,0.0,0.8144002425128652,0.6409330727272062,0.00022224440643763409,0.0,0,0.0,1
"('TRIAMCINOLONE', 'NEC1')",0.3837441701265822,0.12298839181702576,0.38833383573145336,0.1020386029114852,0.0,0.0,0.0,0.5746031746031746,0.04615384615384616,0.6943231441048034,0.7904191616766467,0.0,0.0,0.8131702159810913,0.6409330727272062,0.00019006422089010326,0.0,0,0.0,1
"('LUCINACTANT', 'NEC1')",0.5063291139240506,0.16115839820681804,0.4944262593815094,0.10631184554532172,0.0,0.0,0.0,0.5301587301587302,0.04615384615384616,0.6739446870451238,0.7764471057884231,0.0,0.0,0.8075596206343375,0.6409330727272062,0.00020313742126878767,0.0,0,0.0,1
"('SIMVASTATIN', 'NEC1')",0.35933033924050634,0.05861486908436945,0.3660085693959301,0.0887533049522426,0.0,0.0,0.0,0.5301587301587302,0.04615384615384616,0.6739446870451238,0.7764471057884231,0.0,0.0,0.9159578077775148,0.6409330727272062,0.009621624071012096,0.0,0,0.0,1
