Drug_Protein Pair,Max DDT,Sum DDT,Max DDDT,Sum DDDT,Max DTTT,Sum DTTT,Max DTDT,Sum DTDT,degree of starting node,degree of ending node,max deg DDT,max deg DDDT,max deg DTTT,max deg DTDT,drug_centrality,target_centrality,betweenness_cen drug,betweenness_cen target,Label
"('METHYLPHENIDATE', 'RBX1')",0.348620046,0.143204049,0.365442601,0.106447669,0.0,0.0,0.0,0.0,0.579617834,0.109375,0.69286754,0.789421158,0.0,0.0,0.7580871920000001,0.6730825309999999,0.010279075,0.01300525,0
"('METHYLPHENIDATE', 'ACE2')",0.477668975,0.278378832,0.349594325,0.16673880800000002,0.0,0.0,0.0,0.0,0.579617834,0.0625,0.6419213970000001,0.754491018,0.0,0.0,0.7580871920000001,0.646408066,0.010279075,0.0,0
"('CARFILZOMIB', 'RBX1')",0.506329114,0.191864468,0.4808455270000001,0.202715982,0.191163119,0.088633109,0.0,0.0,0.891719745,0.109375,0.835516739,0.8872255490000001,0.468856172,0.0,0.847313277,0.6730825309999999,0.000197104,0.01300525,0
"('CARFILZOMIB', 'ACE2')",0.578661844,0.334020184,0.445926983,0.288986676,0.0,0.0,0.0,0.0,0.891719745,0.0625,0.784570597,0.8522954090000001,0.0,0.0,0.847313277,0.646408066,0.000197104,0.0,0
"('BORTEZOMIB', 'RBX1')",0.468543359,0.166686198,0.398435587,0.15035341800000002,0.181604963,0.07060455,0.0,0.0,0.751592357,0.109375,0.77147016,0.843313373,0.419026048,0.0,0.819981273,0.6730825309999999,0.010666625,0.01300525,0
"('IXAZOMIB CITRATE', 'RBX1')",0.441415125,0.176822747,0.42166454,0.177117885,0.14337233900000002,0.050328509,0.0,0.0,0.8598726109999999,0.109375,0.820960699,0.8772455090000001,0.457531144,0.0,0.836300947,0.6730825309999999,0.009118939,0.01300525,0
"('ACENOCOUMAROL', 'RBX1')",0.393811533,0.141691706,0.367255492,0.116932614,0.0,0.0,0.0,0.0,0.624203822,0.109375,0.713245997,0.8033932140000001,0.0,0.0,0.8222982120000001,0.6730825309999999,0.000192075,0.01300525,0
"('HISTAMINE', 'RBX1')",0.3666521170000001,0.098457362,0.362292234,0.053536318,0.0,0.0,0.0,0.0,0.299363057,0.109375,0.561863173,0.6966067859999999,0.0,0.0,0.458512365,0.6730825309999999,0.010332263,0.01300525,0
"('ARTENIMOL', 'RBX1')",0.149561831,0.024396902,0.28022277,0.064856917,0.16715424199999998,0.066656968,0.0,0.0,0.461783439,0.109375,0.639010189,0.75249501,0.31596829,0.0,0.812675743,0.6730825309999999,0.064030172,0.01300525,0
"('MOMETASONE FUROATE', 'RBX1')",0.15974327,0.026057724,0.312970157,0.102656106,0.0,0.0,0.0,0.0,0.598726115,0.109375,0.701601164,0.795409182,0.0,0.0,0.518457133,0.6730825309999999,0.000111625,0.01300525,0
"('UREA', 'RBX1')",0.030379747,0.004955621,0.187179578,0.002941215,0.0,0.0,0.0,0.0,0.031847134,0.109375,0.250363901,0.503992016,0.0,0.0,0.384699493,0.6730825309999999,0.0,0.01300525,0
"('ALBENDAZOLE', 'RBX1')",0.379746835,0.11223046,0.336566707,0.136148852,0.0,0.0,0.0,0.0,0.6624203820000001,0.109375,0.727802038,0.815369261,0.0,0.0,0.514419026,0.6730825309999999,8.609999999999999e-05,0.01300525,0
"('TRIAMTERENE', 'RBX1')",0.41903099,0.128172032,0.365442601,0.069445988,0.0,0.0,0.0,0.0,0.372611465,0.109375,0.595342067,0.7245508979999999,0.0,0.0,0.529210738,0.6730825309999999,0.03965697,0.01300525,0
"('OMEPRAZOLE', 'RBX1')",0.389483934,0.138717286,0.362476391,0.15024464099999998,0.0,0.0,0.0,0.0,0.73566879,0.109375,0.76419214,0.8383233529999999,0.0,0.0,0.524545951,0.6730825309999999,0.003005871,0.01300525,0
"('ALECTINIB', 'RBX1')",0.534458509,0.199118825,0.527575586,0.210694649,0.0,0.0,5.400000000000001e-05,1.05e-05,0.936305732,0.109375,0.855895197,0.901197605,0.0,0.6941678520000001,0.776108425,0.6730825309999999,0.000159895,0.01300525,0
