Drug_Protein Pair,Max DDT,Sum DDT,Max DDDT,Sum DDDT,Max DTTT,Sum DTTT,Max DTDT,Sum DTDT,degree of starting node,degree of ending node,max deg DDT,max deg DDDT,max deg DTTT,max deg DTDT,drug_centrality,target_centrality,betweenness_cen drug,betweenness_cen target,Label
"('METHYLPHENIDATE', 'COMT')",0.461914279,0.387307444,0.345069808,0.301477739,0.17147926,0.041391513,0,0,0.579617834,0.484375,0.749636099,0.828343313,0.795016988,0,0.758087192,0.763479986,0.010279075,0.207498405,1
"('CARFILZOMIB', 'PSMD2')",0.487601872,0.145307885,0.316021901,0.118888373,0.471670783,0.507662572,0.9025,1,0.891719745,0.140625,0.818049491,0.875249501,0.8799547,0.810810811,0.847313277,0.868322045,0.000197104,0.060896005,1
"('CARFILZOMIB', 'PSMD6')",0.323357031,0.085192873,0.209572419,0.068626566,0.485914202,0.525541818,0.5985,0.674516696,0.891719745,0.109375,0.815138282,0.873253493,0.565118913,0.810810811,0.847313277,0.736204147,0.000197104,0.000315371,1
"('CARFILZOMIB', 'PSMD3')",0.323357031,0.085192873,0.209572419,0.068626566,0.02999732,0.012656585,0.5985,0.674516696,0.891719745,0.046875,0.809315866,0.869261477,0.462061155,0.80512091,0.847313277,0.663313694,0.000197104,0.000620775,1
"('CARFILZOMIB', 'PSMD8')",0.323357031,0.085192873,0.209572419,0.068626566,0.485914202,0.307569181,0.5985,0.674516696,0.891719745,0.046875,0.809315866,0.869261477,0.560588901,0.80512091,0.847313277,0.68022399,0.000197104,0,1
"('CARFILZOMIB', 'PSMD7')",0.323357031,0.085192873,0.209572419,0.068626566,0.253309844,0.233831042,0.5985,0.674516696,0.891719745,0.0625,0.81077147,0.870259481,0.561721404,0.806543385,0.847313277,0.690604429,0.000197104,0.000691965,1
"('CARFILZOMIB', 'PSMD1')",0.487601872,0.145307885,0.316021901,0.118888373,0.471670783,0.496703201,0.9025,1,0.891719745,0.09375,0.813682678,0.872255489,0.8799547,0.809388336,0.847313277,0.822230139,0.000197104,0,1
"('CARFILZOMIB', 'PSME3')",0.164244842,0.026792032,0.106449482,0.019785062,0,0,0.304,0.276196055,0.891719745,0.03125,0.758369723,0.834331337,0,0.755334282,0.847313277,0.639069638,0.000197104,0,1
"('BORTEZOMIB', 'PSMD2')",0.513265129,0.148287764,0.362176707,0.10488078,0.448087244,0.390650087,0.95,0.949751025,0.751592357,0.140625,0.768558952,0.841317365,0.830124575,0.762446657,0.819981273,0.868322045,0.010666625,0.060896005,1
"('BORTEZOMIB', 'PSMD6')",0.513265129,0.115576014,0.332654633,0.083067533,0.434153462,0.43023002,0.95,0.924817614,0.751592357,0.109375,0.765647744,0.839321357,0.515288788,0.762446657,0.819981273,0.736204147,0.010666625,0.000315371,1
"('BORTEZOMIB', 'PSMD3')",0.513265129,0.115576014,0.332654633,0.083067533,0.021315287,0.009706723,0.95,0.924817614,0.751592357,0.046875,0.759825328,0.835329341,0.412231031,0.756756757,0.819981273,0.663313694,0.010666625,0.000620775,1
"('BORTEZOMIB', 'PSMD8')",0.513265129,0.115576014,0.332654633,0.083067533,0.427790374,0.245180014,0.95,0.924817614,0.751592357,0.046875,0.759825328,0.835329341,0.510758777,0.756756757,0.819981273,0.68022399,0.010666625,0,1
"('BORTEZOMIB', 'PSMD7')",0.513265129,0.115576014,0.332654633,0.083067533,0.221911334,0.183476416,0.95,0.924817614,0.751592357,0.0625,0.761280932,0.836327345,0.51189128,0.758179232,0.819981273,0.690604429,0.010666625,0.000691965,1
"('BORTEZOMIB', 'PSMD1')",0.513265129,0.148287764,0.362176707,0.10488078,0.448087244,0.392584644,0.95,0.949751025,0.751592357,0.09375,0.76419214,0.838323353,0.830124575,0.761024182,0.819981273,0.822230139,0.010666625,0,1
"('BORTEZOMIB', 'TPA')",0.344536592,0.068183266,0.348542832,0.12942184,0.471789569,0.151423823,0,0,0.751592357,0.15625,0.806404658,0.867265469,0.417893545,0,0.819981273,0.675051184,0.010666625,0.000527516,1
"('BORTEZOMIB', 'PSME3')",0.256632565,0.04186255,0.166327316,0.030914159,0,0,0.475,0.431556337,0.751592357,0.03125,0.758369723,0.834331337,0,0.755334282,0.819981273,0.639069638,0.010666625,0,1
"('IXAZOMIB CITRATE', 'PSMD2')",0.537583998,0.16947143,0.458757162,0.134735081,0.353753087,0.266774813,0.75,0.74060828,0.859872611,0.140625,0.818049491,0.875249501,0.868629672,0.810810811,0.836300947,0.868322045,0.009118939,0.060896005,1
"('IXAZOMIB CITRATE', 'PSMD6')",0.537583998,0.141924693,0.393921092,0.11636603,0.342752733,0.312177649,0.75,0.771003515,0.859872611,0.109375,0.815138282,0.873253493,0.553793884,0.810810811,0.836300947,0.736204147,0.009118939,0.000315371,1
"('IXAZOMIB CITRATE', 'PSMD3')",0.537583998,0.141924693,0.393921092,0.11636603,0.016827857,0.006740963,0.75,0.771003515,0.859872611,0.046875,0.809315866,0.869261477,0.450736127,0.80512091,0.836300947,0.663313694,0.009118939,0.000620775,1
"('IXAZOMIB CITRATE', 'PSMD8')",0.537583998,0.141924693,0.393921092,0.11636603,0.337729243,0.17485167,0.75,0.771003515,0.859872611,0.046875,0.809315866,0.869261477,0.549263873,0.80512091,0.836300947,0.68022399,0.009118939,0,1
"('IXAZOMIB CITRATE', 'PSMD7')",0.537583998,0.141924693,0.393921092,0.11636603,0.175193159,0.129460881,0.75,0.771003515,0.859872611,0.0625,0.81077147,0.870259481,0.550396376,0.806543385,0.836300947,0.690604429,0.009118939,0.000691965,1
"('IXAZOMIB CITRATE', 'PSMD1')",0.537583998,0.16947143,0.458757162,0.134735081,0.353753087,0.262719846,0.75,0.74060828,0.859872611,0.09375,0.813682678,0.872255489,0.868629672,0.809388336,0.836300947,0.822230139,0.009118939,0,1
"('ACENOCOUMAROL', 'CALU')",0,0,0,0,0,0,0,0,0.624203822,0.078125,0,0,0,0,0.822298212,0.860551826,0.000192075,0.028873598,1
"('ARTENIMOL', 'PDIA1')",0.017491369,0.002853236,0.290515047,0.028678851,0.075947793,0.079492419,0.005336,0.001655145,0.461783439,0.140625,0.5356623,0.745508982,0.723669309,0.52916074,0.812675743,0.792310332,0.064030172,0.072265584,1
"('ARTENIMOL', 'ANXA2')",0,0,0,0,0.072727383,0.043847421,0,0,0.461783439,0.0625,0,0,0.312570781,0,0.812675743,0.667244868,0.064030172,0,1
"('ARTENIMOL', 'SRP14')",0,0,0,0,0.020363667,0.010980275,0,0,0.461783439,0.03125,0,0,0.310305776,0,0.812675743,0.654380493,0.064030172,0,1
"('ARTENIMOL', 'LDHB')",0.413329889,0.067423411,0.316613728,0.015689582,0,0,0.2,0.039054872,0.461783439,0.03125,0.317321689,0.531936128,0,0.317211949,0.812675743,0.626918376,0.064030172,0,1
"('ARTENIMOL', 'HNRPK')",0,0,0,0,0.014852853,0.008161262,0,0,0.461783439,0.046875,0,0,0.723669309,0,0.812675743,0.735031847,0.064030172,0,1
"('ARTENIMOL', 'ATP5L')",0,0,0,0,0.064650008,0.035205435,0,0,0.461783439,0.03125,0,0,0.716874292,0,0.812675743,0.722831194,0.064030172,0.005644895,1
"('ARTENIMOL', 'LDHA')",0.413329889,0.067423411,0.316613728,0.016270771,0.234874932,0.127080809,0.35,0.068517868,0.461783439,0.0625,0.320232897,0.533932136,0.718006795,0.317211949,0.812675743,0.733396887,0.064030172,0,1
"('ARTENIMOL', 'ZYX')",0,0,0,0,0.082381771,0.038642991,0,0,0.461783439,0.015625,0,0,0.715741789,0,0.812675743,0.722604885,0.064030172,0,1
"('ARTENIMOL', 'FUBP2')",0,0,0,0,0.175280363,0.099825793,0,0,0.461783439,0.015625,0,0,0.715741789,0,0.812675743,0.722604885,0.064030172,0,1
"('ARTENIMOL', 'ALDOA')",0.041979286,0.006847767,0.039708811,0.003566001,0.085928123,0.051245889,0.00232,0.000570201,0.461783439,0.046875,0.526928675,0.675648703,0.718006795,0.52916074,0.812675743,0.738796414,0.064030172,0,1
"('VASOPRESSIN', 'PAI1')",0,0,0,0,0,0,0,0,0.003184713,0.296875,0,0,0,0,0.063771696,0.677627716,0,0.071877664,1
"('TRIAMTERENE', 'JAK2')",0.440286186,0.132816709,0.346444827,0.066311887,0,0,0,0,0.372611465,0.1875,0.627365357,0.744510978,0,0,0.529210738,0.687518618,0.03965697,0.077937019,1
"('ALECTINIB', 'FGFR1')",0.237475486,0.162002979,0.172815656,0.15969149,0.020326221,0.004906325,0.06,0.015175161,0.936305732,0.421875,0.905385735,0.935129741,0.799546999,0.910384068,0.776108425,0.732582129,0.000159895,1,1
"('ALECTINIB', 'MET')",0.559626915,0.292622298,0.468696347,0.293820248,0.050815553,0.012265814,1,0.197330599,0.936305732,0.484375,0.911208151,0.939121756,0.799546999,0.910384068,0.776108425,0.821352314,0.000159895,0.871972747,1
