Virus,Human_P,Human_G,Human_length,Weight,virus_protein_source,interaction_source
A0A663DJA2,A0FGR8,ESYT2,921,41.7,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O00165,HAX1,279,57.33,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O00231,PSD11,422,72.89,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O00232,PSD12,456,47.54,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O00303,EIF3F,357,43.54,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O00410,IPO5,1097,71.99,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O00505,IMA4,521,59.45,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O00567,NOP56,594,45.72,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O00571,DDX3X,662,40.82,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O00629,IMA3,521,73.38,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O14735,CDIPT,213,45.13,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O14744,ANM5,637,69.66,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O14818,PSA7,248,77.48,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O14828,SCAM3,347,49.81,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O14979,HNRDL,420,43.78,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O15027,SC16A,2357,75.98,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O15287,FANCG,622,45.36,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O15371,EIF3D,548,64.48,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O43143,DHX15,795,41.72,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O43242,PSMD3,534,51.79,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O43390,HNRPR,633,61.5,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O43823,AKAP8,692,105.96,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O43852,CALU,315,49.6,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O60506,HNRPQ,623,44.99,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O60684,IMA7,536,42.27,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O60716,CTND1,968,53.89,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O60832,DKC1,514,49.51,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O60884,DNJA2,412,43.84,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O75190,DNJB6,326,41.73,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O75419,CDC45,566,45.91,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O75494,SRS10,262,43.52,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O75533,SF3B1,1304,42.63,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O75569,PRKRA,313,49.13,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O75688,PPM1B,479,49.59,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O76021,RL1D1,490,49.58,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O95071,UBR5,2799,89.41,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O95232,LC7L3,432,61.23,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O95793,STAU1,577,55.23,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O95816,BAG2,211,78.23,khorsand-ncbi-gordon,khorsand
A0A663DJA2,O95831,AIFM1,613,43.84,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P02545,LMNA,664,52.01,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P02795,MT2,61,72.63,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P04792,HSPB1,205,43.84,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P05141,ADT2,298,41.72,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P06396,GELS,782,53.26,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P06748,NPM,294,44.06,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P07237,PDIA1,508,75.24,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P07355,ANXA2,339,66.03,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P07437,TBB5,444,49.08,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P07900,HS90A,732,61.17,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P07910,HNRPC,306,47.65,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P08195,4F2,630,51.87,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P08238,HS90B,724,47.54,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P08579,RU2B,225,63.19,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P08621,RU17,437,74.29,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P08708,RS17,135,61.79,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P08865,RSSA,295,52.97,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P09012,SNRPA,282,80.22,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P09651,ROA1,372,49.08,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P0C0S8,H2A1,130,41.72,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P0DMV8,HS71A,641,49.59,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P10644,KAP0,381,45.98,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P11021,BIP,654,48.16,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P11142,HSP7C,646,56.57,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P11387,TOP1,765,56.73,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P11388,TOP2A,1531,56.98,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P11940,PABP1,636,58.43,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P12004,PCNA,261,58.82,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P12236,ADT3,298,76,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P13674,P4HA1,534,45.95,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P14866,HNRPL,589,47.65,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P16615,AT2A2,1042,49.84,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P16989,YBOX3,372,54.55,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P17612,KAPCA,351,47.45,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P17844,DDX5,614,42.63,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P18077,RL35A,110,42.63,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P22626,ROA2,353,47.65,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P23396,RS3,243,50.28,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P24928,RPB1,1970,105,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P25398,RS12,132,54.38,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P25705,ATPA,553,43.29,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P25789,PSA4,261,48.16,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P26599,PTBP1,531,50.82,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P29692,EF1D,281,47.59,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P30153,2AAA,589,49.59,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P30876,RPB2,1174,56.62,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P31689,DNJA1,397,48.16,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P31943,HNRH1,449,45.81,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P31946,1433B,246,41.72,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P33991,MCM4,863,44.58,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P33993,MCM7,719,47.54,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P35268,RL22,128,65.07,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P35637,FUS,526,45.35,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P35998,PRS7,433,43.84,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P37108,SRP14,136,56.59,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P38159,RBMX,391,99.6,khorsand-ncbi-gordon,khorsand
A0A663DJA2,P38646,GRP75,679,49.59,khorsand-ncbi-gordon,khorsand
